ticker,headline,sentiment
GOOG,"Google Q1 Earnings: Double Beat, Increased Stock Buybacks, GCP Breakeven, AI Momentum",Strongly Positive
GOOG,Google: Everything You Need To Know About Its Q1 Double Beat,Strongly Positive
GOOG,Google's persisting ad slump weighs on Alphabet's 1Q results,Negative
GOOG,Google's cloud business turns profitable for the first time on record,Strongly Positive
GOOG,Apple and Google app stores 'should have same legal duties as corner shops',Neutral
GOOG,Google: Strong Buy Here - Still Cheap,Strongly Positive
GOOG,"Apple App Store, Google Play, others subject to new EU content rules",Negative
GOOG,Alphabet earnings: What to watch for beyond Google`s AI efforts,Neutral
GOOG,"New Buy Rating for Alphabet Class A (GOOGL), the Technology Giant",Positive
GOOG,GOOG Jumps on Solid Earnings Results,Strongly Positive
GOOG,GOOG Jumps on Top and Bottom Line Beats,Strongly Positive
GOOG,Alphabet`s stock rises as earnings show Google ad sales holding steady,Strongly Positive
GOOG,Alphabet reports Q1 Google Cloud revenue $7.45B vs. $5.82B last year,Strongly Positive
GOOG,Alphabet reports Q1 Google advertising revenue $54.55B vs. $54.66B last year,Negative
GOOG,Google parent Alphabet discloses how much it compensated CEO Sundar Pichai in 2022,Neutral
GOOG,"No, There Will Not Be A Material Shift In Search Market Share - Analyst Says Google's ChatGPT-Like Feature Would Add To Search Volumes",Positive
GOOG,"FAANG Stock Pain Ahead? Tech Earnings This Week: Microsoft, Google, Meta, Amazon, and More!",Negative
GOOG,"Big Tech Earnings Preview: Microsoft, Meta, Google, Amazon On Deck as Market Eyes AI Impact, Job Cuts, Profit Outlooks",Neutral
GOOG,Google's AI wants to do it all,Positive
GOOG,"Riding the AI Wave: Top 5 AI Stocks, Including Microsoft and Google, Set to Transform Your Portfolio",Strongly Positive
GOOG,"Walmart Owned Indian Fintech PhonePe Eyes App Store, Compete With Google Play In Dominated Region",Negative
GOOG,Google Q1 Preview: The Stock May Sell On Facts (Rating Downgrade),Strongly Negative
GOOG,Google Stock: Monopoly In Jeopardy,Strongly Negative
GOOG,"Google likely to see boost in search volume from generative AI, Citi says",Strongly Positive
GOOG,"Google, EDPR partner on 500 MW AC environmental justice program",Neutral
GOOG,Alphabet Class A (GOOGL): New Buy Recommendation for This Technology Giant,Positive
GOOG,Google CEO Sundar Pichai`s compensation reached $226M in 2022,Negative
GOOG,Google CEO Sunder Pichai`s compensation reached $226M in 2022,Negative
GOOG,Google puts 80-acre megacampus on hold,Neutral
GOOG,Google: Recalibrating Before Q1 FY23 Results,Neutral
GOOG,"Dow Jones Futures Fall: Microsoft, Meta, Google Lead Earnings Wave; What To Do Now",Neutral
GOOG,"Amazon, Facebook, Google Headline Busy Earnings Week for Tech",Neutral
GOOG,"Weekly Preview: Earnings To Watch This Week 4-23-23 (AMZN, GOOG, META, MSFT)",Neutral
GOOG,Google: Prepare For A Post-Q1 Rally,Strongly Positive
GOOG,Google: 4 Reasons Why Q1 Results Could Be Worse Than Expected,Negative
GOOG,Google CEO Sundar Pichai’s 2022 Compensation Valued at $226 Million,Negative
GOOG,"This Week in AI: Big Tech Developments From Meta, Microsoft, Google, and Amazon",Neutral
GOOG,Google Could Lose the AI War Even If It Crushes Bing,Strongly Negative
GOOG,Alphabet's Google stops work on Silicon Valley campus amid job cuts,Negative
GOOG,Google Q1 Earnings Preview: Short-Term Pain For Long-Term Gain,Positive
GOOG,"Market Rally Awaits Earnings Wave Led By Microsoft, Meta, Amazon, Google; What To Do Now",Positive
GOOG,Google unveils new Bard AI capabilities for coding,Positive
GOOG,Bing Is Already Taking Market Share From Google. Time to Sell Alphabet Stock?,Negative
GOOG,Alphabet Just Made a Huge Move in the Race to Dominate Artificial Intelligence,Positive
