,ticker,headline,datetime,sentiment_bucket,sentiment_score
31,AAPL,"2 Good Reasons to Buy Apple Stock, and 1 Major Risk to Consider",2023-05-02 03:11:00,Positive,0.6
32,AAPL,"Apple, Google join forces on AirTag tracking security",2023-05-02 02:50:00,Positive,0.74
33,AAPL,"The Zacks Analyst Blog Highlights Apple, FedEx, Marathon Petroleum and Stellantis",2023-05-02 02:49:09,Positive,0.77
34,AAPL,"Apple, Google lead initiative for specification to address unwanted tracking",2023-05-02 02:33:00,Positive,0.6
35,AAPL,Apple and Google team up to stop unwanted AirTag tracking,2023-05-02 02:00:01,Positive,0.74
36,AAPL,Apple price target raised to $180 from $170 at Baird,2023-05-01 22:39:00,Positive,0.75
37,AAPL,Apple (AAPL): New Buy Recommendation for This Technology Giant,2023-05-01 20:26:00,Positive,0.74
38,AAPL,UPDATE 2-US judge declares mistrial in Apple-Masimo smartwatch trade secrets fight,2023-05-01 16:18:37,Positive,0.73
39,AAPL,"Apple Earnings Are Next. Back the Stock for This Reason, Analyst Says.",2023-05-01 05:20:00,Positive,0.6
40,AAPL,Wedbush: Apple to Meet or Exceed iPhone Revenue Predictions,2023-05-01 04:20:00,Positive,0.64
41,AAPL,"Amazon, Alphabet, Apple, Meta and Microsoft are part of Zacks Earnings Preview",2023-05-01 01:50:08,Positive,0.6
42,AAPL,"Apple likely to post `in-line` iPhone revenue, seeing uptick in China: Wedbush",2023-04-30 23:25:00,Positive,0.62
43,AAPL,Apple price target raised to $173 from $168 at BofA,2023-04-30 23:12:00,Positive,0.65
44,AAPL,"What's worth streaming in May 2023, as HBO Max reboots, Netflix rolls out big names and Apple takes a big swing",2023-04-30 07:50:00,Positive,0.75
45,AAPL,Amazon made earnings look better — can Apple continue the momentum?,2023-04-30 06:33:00,Positive,0.78
46,AAPL,Amazon made earnings look better ��� can Apple continue the momentum?,2023-04-30 05:35:00,Positive,0.76
47,AAPL,"Weekly Preview: Earnings to Watch This Week 4-30-23 (AMD, AAPL, MRNA, SQ)",2023-04-30 00:24:00,Positive,0.74
48,AAPL,"What`s worth streaming in May 2023, as HBO Max reboots, Netflix rolls out big names and Apple takes a big swing",2023-04-29 18:51:00,Positive,0.7
49,AAPL,Apple Rising As Investors Bet On A Sunny March-Quarter Report,2023-04-28 13:10:19,Positive,0.74
50,AAPL,"Apple Inc. stock rises Friday, outperforms market",2023-04-28 09:31:00,Positive,0.72
51,AAPL,"Earnings Week Ahead: Apple, Ford, Starbucks, Anheuser Busch, and more",2023-04-28 05:33:00,Positive,0.73
52,AAPL,Apple and Microsoft Have Never Held More Sway Over the S&P 500,2023-04-28 03:01:56,Positive,0.71
53,AAPL,Apple's Magnificent Growth in This Market Could Be a Game Changer in the Long Run,2023-04-28 03:01:00,Positive,0.63
54,AAPL,D.A. Davidson Keeps Their Buy Rating on Apple (AAPL),2023-04-28 00:36:00,Positive,0.69
55,AAPL,"Apple Inc. stock rises Thursday, outperforms market",2023-04-27 10:35:00,Positive,0.74
56,AAPL,"SCHG: Heavier Exposure To Earnings Power Of Apple, Microsoft, And Google",2023-04-27 10:16:51,Positive,0.65
57,AAPL,Apple exec hails importance of having apps ‘built by everyone’ on App Store,2023-04-27 08:42:28,Positive,0.63
58,AAPL,"Apple discloses European MAUs for products, services as it complies with DSA",2023-04-27 02:43:00,Positive,0.78
59,AAPL,Apple and Oppo Battle for Top Spot in China Phone Market,2023-04-26 23:24:53,Positive,0.73
60,AAPL,Baird Maintains Apple (AAPL) Outperform Recommendation,2023-05-02 09:08:01,Neutral,0.5
61,AAPL,Apple Earnings: What to Watch,2023-05-02 05:31:00,Neutral,0.5
62,AAPL,Apple said to cut drivers in California autonomous vehicle testing program,2023-05-02 05:16:00,Neutral,0.5
63,AAPL,"Apple and 10 other stocks tied to China supply chains are at risk, but 7 others may benefit, says Morgan Stanley",2023-05-02 03:18:00,Neutral,0.5
64,AAPL,India's first iPhone maker is quitting amid Apple's growing presence in the country,2023-05-02 01:40:00,Neutral,0.5
65,AAPL,Nasdaq 100 forecast: Where next for Apple stock ahead of Q2 earnings?,2023-05-02 00:51:00,Neutral,0.5
66,AAPL,"Hung jury likely in Masimo, Apple trade case, says Piper Sandle",2023-05-01 23:33:00,Neutral,0.5
67,AAPL,More than 90% of Apple`s production is still in China. Why Morgan Stanley says that`s a problem.,2023-05-01 23:06:00,Neutral,0.5
68,AAPL,Apple-Masimo Trade Secrets Fight Ends With No Jury Verdict,2023-05-01 16:56:12,Neutral,0.5
69,AAPL,Big Tech Earnings: Time to Take Another Bite of Apple?,2023-05-01 15:14:10,Neutral,0.5
70,AAPL,B of A Securities Maintains Apple (AAPL) Neutral Recommendation,2023-05-01 11:07:13,Neutral,0.5
71,AAPL,15 Most Profitable Industries In America In 2023,2023-05-01 09:43:22,Neutral,0.5
72,AAPL,Apple Inc. stock outperforms market despite losses on the day,2023-05-01 09:31:00,Neutral,0.5
73,AAPL,Apple (AAPL) to Report Q2 Earnings: What's in the Offing?,2023-05-01 09:18:04,Neutral,0.5
74,AAPL,How to Play Apple Ahead of Its Important Earnings Report,2023-05-01 07:15:00,Neutral,0.5
75,AAPL,Market Faces Its Most Significant News of 2023: Fed Policy and Apple Earnings,2023-05-01 04:49:00,Neutral,0.5
76,AAPL,All Eyes on Apple Stock Ahead of Earnings,2023-05-01 04:04:00,Neutral,0.5
77,AAPL,"Analysts` Opinions Are Mixed on These Technology Stocks: Apple (AAPL), Teradyne (TER) and Mobileye Global, Inc. Class A (MBLY)",2023-04-30 23:51:00,Neutral,0.5
78,AAPL,"Apple should post at least in-line iPhone revenues, says Wedbush",2023-04-30 23:42:00,Neutral,0.5
79,AAPL,"Nasdaq, S&P 500, Dow edge lower as investors look ahead to Fed, Apple earnings",2023-04-30 20:05:00,Neutral,0.5
80,AAPL,"Fed decision, Apple earnings, April jobs report: What to know this week",2023-04-30 07:46:01,Neutral,0.5
81,AAPL,Apple in India: How the iPhone maker is scaling the world's second-largest smartphone market,2023-04-30 07:20:32,Neutral,0.5
82,AAPL,Where Will Apple Stock Be in 3 Years?,2023-04-30 03:18:00,Neutral,0.5
83,AAPL,"Starbucks, Ford, Apple Lead Another Busy Earnings Week",2023-04-30 02:30:00,Neutral,0.5
84,AAPL,iPhone Sales Are Key for Apple. India Could Move the Needle.,2023-04-30 00:30:00,Neutral,0.5
85,AAPL,"A ""Cornerstone"" For Value Investors",2023-04-29 04:40:00,Neutral,0.5
86,AAPL,"Catalyst Watch: FOMC Meeting, Apple Earnings Preview (Podcast)",2023-04-29 00:00:00,Neutral,0.5
87,AAPL,"Stock Charts Strategy, May 1-5: Fed Policy, April Payrolls, Apple Earnings",2023-04-28 10:12:49,Neutral,0.5
88,AAPL,"AAPL Stock Ramps Higher Ahead Of Quarterly Results. Wall Street Eyes Reports From DraftKings, Arista Networks",2023-04-28 08:38:49,Neutral,0.5
89,AAPL,"iPhone 15 to add mysterious new button on the side, Apple rumours suggest",2023-04-28 08:15:25,Neutral,0.5
90,AAPL,Here is What to Know Beyond Why Apple Inc. (AAPL) is a Trending Stock,2023-04-28 06:00:01,Neutral,0.5
91,AAPL,"Catalyst watch: FOMC, Apple earnings, Kenvue IPO and jobs report are on tap",2023-04-27 19:06:00,Neutral,0.5
92,AAPL,"Apple Stock Is a Winner, but How Much Higher Can It Go?",2023-04-27 18:30:00,Neutral,0.5
93,AAPL,These 3 Companies Are Too Dependent On Apple,2023-04-29 04:10:00,Strongly Negative,0.11
